# mode ffa
# 8 plies, depth 4, band spread <=250, setup all, seed 1
byg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-1-3,yR,yN,yB,yQ,yK,yB,yN,yR,3/3,yP,1,yP,yP,yP,yP,yP,4/4,yP,5,yP,3/bR,bP,10,gP,gR/bN,bP,10,gP,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gK/bK,3,bP,7,gP,gQ/bB,bP,9,gN,gP,gB/bN,bP,10,gP,1/bR,bP,9,gP,1,gR/7,rP,2,rP,3/3,rP,rP,rP,rP,1,rP,rP,4/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
classic R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-1-{'enPassant':('','c8:d8','i12:i11','')}-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,yP,yP,yP,1,yP,4/14/bR,bP,6,yP,1,yP,gN,gP,gR/bN,bP,8,gP,3/bB,1,bP,9,gP,gB/bK,2,bP,8,gP,gQ/bQ,bP,10,gP,gK/bB,bP,10,gP,gB/bN,bP,10,gP,gN/bR,bP,6,rP,3,gP,gR/9,rP,4/3,rP,rP,rP,rP,rP,2,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
by R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('','','i12:i11','')}-3,yR,yN,yB,yQ,yK,yB,yN,yR,3/3,yP,yP,yP,yP,2,yP,yP,3/14/bR,bP,5,yP,yP,2,gN,gP,gR/1,bP,10,gP,1/bB,bP,bN,9,gP,gB/bQ,bP,10,gP,gQ/bK,bP,10,gP,gK/bB,bP,bN,9,gP,gB/1,bP,10,gP,gN/bR,bP,9,gP,1,gR/8,rP,1,rN,3/3,rP,rP,rP,rP,rP,1,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,1,rR,3
byg R-0,0,0,0-1,1,1,1-1,1,0,1-0,0,0,0-0-{'enPassant':('','c4:d4','','')}-4,yN,yB,yQ,yK,yB,yN,yR,3/3,yR,yP,yP,yP,yP,yP,yP,yP,3/3,yP,10/bR,1,bP,7,gP,2,gR/bN,bP,10,gP,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gK/bK,bP,10,gP,gQ/bB,bP,10,gP,gB/bN,bP,10,gP,gN/bR,2,bP,3,rN,4,gP,gR/14/3,rP,rP,rP,rP,rP,rP,rP,rP,3/3,rR,1,rB,rQ,rK,rB,rN,rR,3
classic R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('g3:g4','','','')}-3,yR,yN,yB,yK,yQ,yB,1,yR,3/3,yP,yP,yP,yP,1,yP,yP,yP,3/10,yN,3/bR,bP,5,yP,4,gP,gR/bN,1,bP,9,gP,gN/bB,1,bP,9,gP,gB/bK,bP,9,gP,1,gQ/bQ,bP,10,gP,gK/bB,bP,10,gP,gB/bN,bP,10,gP,gN/bR,bP,4,rP,4,gP,1,gR/10,rP,3/3,rP,rP,rP,1,rP,rP,rP,4/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
by R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-2-{'enPassant':('k3:k4','','','')}-3,yR,yN,1,yQ,yK,yB,yN,yR,3/3,yP,1,yP,yP,yP,yP,yP,yP,3/3,yB,10/bR,bP,2,yP,7,gP,gR/bN,1,bP,9,gP,gN/bB,bP,10,gP,gB/bQ,1,bP,8,gB,gP,gQ/bK,bP,8,gP,2,gK/bB,bP,10,gP,1/bN,bP,10,gP,gN/bR,bP,6,rP,1,rP,1,gP,gR/14/3,rP,rP,rP,rP,rP,1,rP,4/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
byg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('h3:h4','','','')}-3,yR,yN,yB,yQ,yK,yB,yN,yR,3/3,yP,yP,yP,yP,yP,2,yP,3/9,yP,4/bR,bP,bN,5,yP,3,gP,gR/2,bP,7,gP,2,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gK/bK,bP,10,gP,gQ/bB,bP,9,gP,1,gB/bN,bP,10,gP,gN/bR,bP,1,rP,3,rP,4,gP,gR/14/4,rP,rP,rP,1,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
rg R-0,0,0,0-1,1,1,1-1,1,1,0-0,0,0,0-2-{'enPassant':('j3:j4','','','')}-3,yR,yN,yB,yK,yQ,yB,1,yR,3/4,yP,yP,yP,yP,yP,yP,yP,3/3,yP,4,yN,5/bR,bP,10,gP,gR/bN,3,bP,7,gP,gN/bB,bP,10,gP,gB/bK,bP,10,gP,gK/bQ,bP,10,gP,gQ/bB,bP,10,gP,gB/bN,bP,10,gP,gN/bR,bP,7,rP,gP,1,gR,1/3,rN,10/3,rP,rP,rP,rP,rP,rP,1,rP,3/3,rR,1,rB,rK,rQ,rB,rN,rR,3
byg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-1-{'enPassant':('','','k12:k11','')}-3,yR,1,yB,yQ,yK,yB,yN,yR,3/3,yP,yP,yP,yP,yP,yP,yP,4/5,yN,8/bR,bP,bN,7,yP,1,gP,gR/1,bP,10,gP,1/bB,bP,9,gN,gP,gB/bQ,bP,10,gP,gK/bK,bP,10,gP,gQ/bB,bP,8,gP,2,gB/bN,bP,10,gP,gN/bR,1,bP,rP,8,gP,gR/7,rP,6/4,rP,rP,rP,1,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
rg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('h3:h4','c11:d11','','l5:k5')}-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,yP,yP,yP,yP,yP,yP,3/14/bR,2,bP,8,gP,gR/bN,bP,10,gP,1/bB,bP,9,gN,gP,gB/bK,bP,10,gP,gK/bQ,bP,10,gP,gQ/bB,bP,10,gP,gB/bN,bP,8,gP,2,gN/bR,1,bP,4,rP,2,rP,1,gP,gR/14/3,rP,rP,rP,rP,1,rP,rP,4/3,rR,rN,rB,rK,rQ,rB,rN,rR,3
classic R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-1-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,1,yP,yP,1,yP,yP,3/5,yP,8/bR,bP,6,yP,3,gP,gR/bN,bP,10,gP,gN/bB,bP,10,gP,gB/bK,bP,10,gP,gQ/bQ,2,bP,8,gP,gK/bB,bP,bN,8,gP,1,gB/1,bP,10,gP,1/bR,bP,6,rP,2,gN,gP,gR/6,rP,7/3,rP,rP,rP,1,rP,1,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
modern R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-1-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,1,yP,yP,1,yP,yP,yP,3/4,yP,2,yP,6/bR,1,bP,9,gP,gR/bN,1,bP,9,gP,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gK/bK,bP,10,gP,gQ/bB,bP,9,gN,gP,gB/bN,bP,10,gP,1/bR,bP,8,gP,2,gR/3,rP,2,rP,7/4,rP,rP,1,rP,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
